    663 25/tcp open  smtp?   syn-ack
      1 25/tcp open  smtp    syn-ack Postfix smtpd (ispCP OMEGA 1.0.2)
      1 25/tcp open  smtp    syn-ack Postfix
      1 25/tcp open  smtp    syn-ack Network Box smtpd
      1 25/tcp open  smtp    syn-ack Mirapoint Messaging Server MOS smtpd 4.1.9-GA Queueing
      1 25/tcp open  smtp    syn-ack Microsoft ESMTP 7.5.7600.16601
      1 25/tcp open  smtp    syn-ack Microsoft ESMTP 7.5.7600.16544
      1 25/tcp open  smtp    syn-ack Microsoft ESMTP 6.0.3790.211
      1 25/tcp open  smtp    syn-ack Microsoft ESMTP 6.0.2600.5512
      1 25/tcp open  smtp    syn-ack Microsoft ESMTP 6.0.2600.3680
      1 25/tcp open  smtp    syn-ack MailMarshal 6.8.3.9481
      1 25/tcp open  smtp    syn-ack MailEnable smptd 4.26--4.26
      1 25/tcp open  smtp    syn-ack MailEnable smptd 4.26--
      1 25/tcp open  smtp    syn-ack MailEnable smptd 4.23--
      1 25/tcp open  smtp    syn-ack MailEnable smptd 4.22--4.22
      1 25/tcp open  smtp    syn-ack MailEnable smptd 4.17--
      1 25/tcp open  smtp    syn-ack MailEnable smptd 3.62--
      1 25/tcp open  smtp    syn-ack MailEnable smptd 0-4.26-
      1 25/tcp open  smtp    syn-ack MailEnable smptd 0-4.25-
      1 25/tcp open  smtp    syn-ack MailEnable smptd 0-4.0-
      1 25/tcp open  smtp    syn-ack MailEnable smptd 0-3.11-3.04
      1 25/tcp open  smtp    syn-ack MailEnable smptd --3.63
      1 25/tcp open  smtp    syn-ack MAILsweeper SMTP proxy
      1 25/tcp open  smtp    syn-ack Lyris ListManager smtpd
      1 25/tcp open  smtp    syn-ack Lotus Domino smtpd 8.5.2
      1 25/tcp open  smtp    syn-ack Lotus Domino smtpd 8.5 HF1086
      1 25/tcp open  smtp    syn-ack Linuxmagic qmail-based smtpd (with Anti-Spam)
      1 25/tcp open  smtp    syn-ack JAMES smtpd 2.3.2
      1 25/tcp open  smtp    syn-ack IceWarp smtpd 10.0.8
